week,matchup_id,team_key,team_id,team_name,result,H/AB,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV
6,0,469.l.83828.t.11,11,Zach,0,47/219,33,5,23,5,76,.215,.326,43.1,52,3.74,1.20,6
6,1,469.l.83828.t.2,2,Jahn,1,60/217,26,10,40,2,101,.276,.325,60.1,57,3.88,1.38,0
6,1,469.l.83828.t.4,4,gabriel,0,53/219,22,5,32,8,86,.242,.317,52.1,49,3.27,1.34,3
6,2,469.l.83828.t.3,3,quinn,0,53/209,36,8,21,2,94,.254,.349,58.1,50,1.70,1.06,2
6,2,469.l.83828.t.5,5,Dante,1,68/227,42,10,46,4,108,.300,.387,43.1,44,2.70,1.18,4
6,3,469.l.83828.t.6,6,david,1,67/220,34,11,35,3,117,.305,.371,37.2,34,3.35,1.38,3
6,3,469.l.83828.t.9,9,Matt,0,49/201,30,6,20,5,76,.244,.332,66.1,66,3.12,1.24,0
6,4,469.l.83828.t.7,7,nathan,1,62/211,25,8,25,1,102,.294,.376,55.1,51,5.37,1.39,3
6,4,469.l.83828.t.8,8,Ben,0,54/197,24,6,32,6,84,.274,.372,44.1,53,3.45,1.38,3
6,5,469.l.83828.t.10,10,Ian,1,51/208,29,3,16,0,69,.245,.333,60.0,49,2.40,1.15,3
6,5,469.l.83828.t.13,13,dawson,0,52/204,27,2,12,5,72,.255,.364,53.1,57,5.06,1.35,2
6,6,469.l.83828.t.12,12,JT,1,64/233,41,14,41,4,114,.275,.347,36.0,29,3.75,1.33,4
6,6,469.l.83828.t.14,14,adam,0,58/224,31,8,22,2,95,.259,.318,64.1,65,6.72,1.66,4
7,0,469.l.83828.t.1,1,Jose,0,38/194,22,5,17,2,66,.196,.281,52.2,57,3.25,1.22,2
7,0,469.l.83828.t.8,8,Ben,1,57/241,31,10,34,10,97,.237,.311,47.2,40,3.40,1.11,3
7,1,469.l.83828.t.2,2,Jahn,0,51/219,28,8,19,5,83,.233,.312,69.0,64,6.00,1.43,0
7,1,469.l.83828.t.11,11,Zach,1,61/232,38,12,27,7,112,.263,.332,55.1,69,4.23,1.10,5
7,2,469.l.83828.t.3,3,quinn,0,44/228,28,5,14,4,71,.193,.273,52.1,47,4.64,1.45,2
7,2,469.l.83828.t.7,7,nathan,1,45/218,32,9,32,4,83,.206,.313,74.0,76,3.04,0.92,4
7,3,469.l.83828.t.4,4,gabriel,1,66/232,30,10,39,4,112,.284,.362,62.2,57,3.02,1.28,2
7,3,469.l.83828.t.13,13,dawson,0,45/195,27,5,22,5,70,.231,.348,65.2,69,4.52,1.31,2
7,4,469.l.83828.t.5,5,Dante,1,56/237,30,5,34,12,90,.236,.308,63.0,64,3.29,0.98,5
7,4,469.l.83828.t.6,6,david,0,54/219,28,7,25,3,89,.247,.335,52.0,37,2.60,1.12,5
7,5,469.l.83828.t.9,9,Matt,1,71/246,33,5,28,10,104,.289,.361,57.1,55,2.98,1.33,0
7,5,469.l.83828.t.12,12,JT,0,47/219,25,10,33,3,87,.215,.297,57.1,53,3.30,1.12,1
7,6,469.l.83828.t.10,10,Ian,1,57/224,32,14,28,3,106,.254,.303,75.0,68,4.68,1.17,4
7,6,469.l.83828.t.14,14,adam,0,56/241,30,8,23,4,95,.232,.284,67.0,74,2.96,1.04,6
8,0,469.l.83828.t.1,1,Jose,1,58/215,40,10,24,9,96,.270,.360,63.1,71,4.26,1.09,1
8,0,469.l.83828.t.3,3,quinn,0,58/223,35,11,31,6,106,.260,.317,55.0,54,6.55,1.49,1
8,1,469.l.83828.t.2,2,Jahn,1,47/229,32,6,26,6,75,.205,.264,56.1,37,2.56,1.14,0
8,1,469.l.83828.t.13,13,dawson,0,52/205,29,4,16,5,73,.254,.335,74.2,64,3.74,1.22,4
8,2,469.l.83828.t.4,4,gabriel,-1,52/220,39,9,29,1,92,.236,.361,55.2,61,3.56,1.28,2
8,2,469.l.83828.t.14,14,adam,-1,54/205,25,4,19,9,78,.263,.336,65.1,57,2.89,1.13,4
8,3,469.l.83828.t.5,5,Dante,0,44/212,27,7,19,6,75,.208,.328,84.2,68,4.15,1.10,5
8,3,469.l.83828.t.12,12,JT,1,47/217,28,9,18,1,87,.217,.289,68.2,68,3.54,1.09,3
8,4,469.l.83828.t.6,6,david,0,53/215,34,8,24,2,92,.247,.336,67.0,65,4.57,1.43,5
8,4,469.l.83828.t.7,7,nathan,1,57/229,41,8,32,4,94,.249,.350,70.2,74,3.31,1.19,2
8,5,469.l.83828.t.8,8,Ben,-1,61/239,28,8,38,5,100,.255,.323,51.1,52,4.38,1.46,3
8,5,469.l.83828.t.11,11,Zach,-1,60/229,29,7,32,9,97,.262,.340,39.1,43,5.49,1.40,4
8,6,469.l.83828.t.9,9,Matt,0,59/240,24,6,29,4,86,.246,.307,71.2,68,5.15,1.40,0
8,6,469.l.83828.t.10,10,Ian,1,49/215,35,11,29,6,92,.228,.310,64.1,62,3.64,1.24,4
